time,cases,7_avg
Feb 15 2022,109482,131668
Feb 16 2022,106637,118765
Feb 17 2022,100741,109181
Feb 18 2022,103774,101815
Feb 19 2022,41687,97948
Feb 20 2022,32058,95529
Feb 21 2022,48431,77544
Feb 22 2022,115858,78455
Feb 23 2022,74361,73844
Feb 24 2022,74903,70153
Feb 25 2022,74616,65987
Feb 26 2022,26199,63775
Feb 27 2022,18278,61806
Feb 28 2022,72055,65181
Mar  1 2022,42446,54694
Mar  2 2022,53260,51679
Mar  3 2022,51982,48405
Mar  4 2022,42925,43877
Mar  5 2022,14736,42240
Mar  6 2022,9124,40932
Mar  7 2022,55512,38569
Mar  8 2022,30344,36840
Mar  9 2022,46305,35846
Mar 10 2022,39611,34079
Mar 11 2022,36794,33203
Mar 12 2022,12316,32858
Mar 13 2022,9471,32907
Mar 14 2022,39100,30563
Mar 15 2022,24997,29799
Mar 16 2022,38401,28670
Mar 17 2022,33460,27791
Mar 18 2022,30311,26865
Mar 19 2022,10108,26549
Mar 20 2022,10601,26711
Mar 21 2022,38982,26694
Mar 22 2022,24952,26687
Mar 23 2022,37222,26519
Mar 24 2022,34139,26616
Mar 25 2022,28165,26309
Mar 26 2022,9243,26186
Mar 27 2022,10596,26185
Mar 28 2022,35348,25666
Mar 29 2022,22051,25252
Mar 30 2022,40560,25728
Mar 31 2022,35901,25980
Apr  1 2022,29045,26106
